phosphor	compound.n.02,synthetic.n.01
pallidity	visual_property.n.01,color_property.n.01
Boell	writer.n.01,communicator.n.01
capital_of_Canada	city.n.01,national_capital.n.01,capital.n.03
Nynorsk	norwegian.n.02,scandinavian.n.02
Bam	city.n.01,municipality.n.01
Bam	sound.n.04,noise.n.01
Quechuan_language	natural_language.n.01,amerind.n.01
comicality	humor.n.04,quality.n.01
countryfolk	group.n.01,citizenry.n.01,people.n.01,folk.n.01
haplotype	combination.n.01,collection.n.01
Prospero_Lambertini	pope.n.01,catholic.n.01,spiritual_leader.n.01
Bremen	city.n.01,municipality.n.01
flowering_maple	plant.n.02,ornamental.n.01
sun_tea	beverage.n.01,tea.n.01
neediness	financial_condition.n.01,poverty.n.01
neediness	quality.n.01,attribute.n.02
brass_family	class.n.01,collection.n.01
fibrosity	quality.n.01,attribute.n.02
thirty-second_part	fraction.n.03,common_fraction.n.01
choropleth_map	map.n.01,representation.n.02
streusel	pastry.n.02,baked_goods.n.01
streusel	topping.n.01,garnish.n.01
Nestorian	follower.n.01,person.n.01
Kissimmee	stream.n.01,river.n.01
Osteoglossidae	family.n.06,fish_family.n.01
cause_of_action	claim.n.01,assertion.n.01
zinc_sulphide	sulfide.n.01,compound.n.02
geneticism	belief.n.01,content.n.05
Wagnerian	follower.n.01,person.n.01
luxuriation	activity.n.01,pleasure.n.04
Oncorhynchus	fish_genus.n.01,genus.n.02
isoclinic_line	line.n.11,isogram.n.01
moment_magnitude_scale	scale.n.01,standard.n.01
Carl_August_Nielsen	musician.n.02,composer.n.01
authoritarian_state	government.n.01,polity.n.02
angular_acceleration	acceleration.n.03,rate.n.01
phase-out	discontinuance.n.01,termination.n.05
faultlessness	correctness.n.02,propriety.n.01
Shona	african.n.01,bantu.n.01
Shona	niger-congo.n.01,bantu.n.02
gut_issue	issue.n.01,content.n.05
Pepin_the_Short	king.n.01,sovereign.n.01,carolingian.n.01
non-flowering_plant	plant.n.02,organism.n.01
sudorific	drug.n.01,medicine.n.02
George_Frost_Kennan	official.n.01,diplomat.n.01
jump-start	act.n.02,action.n.01
oenomel	food.n.01,liquid.n.01,beverage.n.01
required_course	course.n.01,education.n.01
towhead	person.n.01,blond.n.01
Altai_Mountains	range.n.04,geological_formation.n.01
Poyang	body_of_water.n.01,lake.n.01
Mahdism	monotheism.n.01,islam.n.02
grand_total	sum.n.02,quantity.n.03
festschrift	recognition.n.03,memorial.n.01
baronetage	nobility.n.01,elite.n.01
baronetage	occupation.n.01,position.n.06
mid-calf	calf.n.02,skeletal_muscle.n.01
Goldsboro	town.n.01,municipality.n.01
Vienne	town.n.01,municipality.n.01
Vienne	council.n.02,assembly.n.04
CD8	glycoprotein.n.01,conjugated_protein.n.01
holding_yard	pen.n.02,enclosure.n.01
John_of_Gaunt	peer.n.02,duke.n.01
colchicine	medicine.n.02,analgesic.n.01
Sindhi	asian.n.01,pakistani.n.01
Sindhi	indo-iranian.n.01,indic.n.01
group_AB	blood.n.01,blood_group.n.01
housemate	resident.n.01,inhabitant.n.01
ochlocracy	political_system.n.01,social_group.n.01
Gioacchino_Pecci	pope.n.01,catholic.n.01,spiritual_leader.n.01
Potamogeton_crispus	pondweed.n.01,aquatic_plant.n.01
tea-like_drink	food.n.01,liquid.n.01,beverage.n.01
Space_Needle	structure.n.01,tower.n.01
Muztagh	peak.n.04,mountain_peak.n.01
conceptual_semantics	semantics.n.01,linguistics.n.01
Sg	substance.n.01,chemical_element.n.01
skinny-dipper	athlete.n.01,swimmer.n.01
American_gray_birch	tree.n.01,birch.n.02
one-hundred-millionth	fraction.n.03,common_fraction.n.01
thanatopsis	writing.n.02,essay.n.01
clumping	happening.n.01,sound.n.04
soft_copy	writing.n.02,matter.n.06
Cheviots	hill.n.01,natural_elevation.n.01
Cheviots	domestic_sheep.n.01,sheep.n.01
semasiology	semantics.n.01,linguistics.n.01
straight_thrust	blow.n.01,stab.n.02
innocency	naivete.n.01,artlessness.n.01
kinship_system	arrangement.n.03,structure.n.03
meitnerium	substance.n.01,chemical_element.n.01
adoxography	writing.n.01,verbal_creation.n.01
absurd	situation.n.01,state.n.02
St._James_the_Apostle	apostle.n.03,disciple.n.01,christian.n.01
St._James_the_Apostle	saint.n.01,deity.n.01
woodsiness	quality.n.01,attribute.n.02
Valenciennes	town.n.01,municipality.n.01
Valenciennes	lace.n.02,pillow_lace.n.01
Chukchi_language	natural_language.n.01,language.n.01
accommodating_lens_implant	lens_implant.n.01,implant.n.01
salt_marsh	wetland.n.01,marsh.n.01
egality	status.n.01,equality.n.02
freelancer	person.n.01,worker.n.01
Powys	writer.n.01,communicator.n.01
Chicano	mexican.n.01,central_american.n.01
Rastafarian	follower.n.01,disciple.n.01
Rastafarian	cult.n.01,religion.n.02
William_Congreve	dramatist.n.01,writer.n.01
ramipril	ace_inhibitor.n.01,antihypertensive.n.01
robalo	percoid_fish.n.01,spiny-finned_fish.n.01
Dalian	city.n.01,municipality.n.01
Dalian	geographic_point.n.01,port.n.01
separationism	separation.n.05,group_action.n.01
Anglicisation	assimilation.n.02,social_process.n.01
atomic_number_114	substance.n.01,chemical_element.n.01
sights	optical_instrument.n.01,instrument.n.01
sights	visual_percept.n.01,percept.n.01
sights	display.n.05,communication.n.02
sights	sense.n.03,modality.n.03,exteroception.n.01,sensitivity.n.01
sights	position.n.03,orientation.n.02
sights	compass.n.03,capability.n.03
sights	look.n.02,sensing.n.02
sights	large_indefinite_quantity.n.01,indefinite_quantity.n.01
yobibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
BVD's	undergarment.n.01,underwear.n.01
fish_species	taxonomic_group.n.01,species.n.01
Bemisia_tabaci	sweet-potato_whitefly.n.01,whitefly.n.01
hygienist	doctor.n.01,specialist.n.02
optic_radiation	nerve_pathway.n.01,white_matter.n.01
recombinant	living_thing.n.01,cell.n.02,organism.n.01
Girondism	belief.n.01,doctrine.n.01
en_passant	capture.n.05,chess_move.n.01
wayfaring	travel.n.01,motion.n.06
levator	muscle.n.01,contractile_organ.n.01
Hamelin	town.n.01,municipality.n.01
Shenandoah_River	stream.n.01,river.n.01
surface_chemistry	chemistry.n.01,natural_science.n.01
analog_clock	timepiece.n.01,clock.n.01
Transportation_Security_Administration	administrative_unit.n.01,agency.n.01
Zarqa	city.n.01,municipality.n.01
Kobe	city.n.01,municipality.n.01
Kobe	geographic_point.n.01,port.n.01
element_116	substance.n.01,chemical_element.n.01
lemongrass_oil	lipid.n.01,oil.n.01
tire_chain	ligament.n.02,chain.n.03
flying_visit	meeting.n.04,visit.n.03
latest	news.n.01,information.n.01
unemployed_people	group.n.01,people.n.01
universal_suffrage	right_to_vote.n.01,franchise.n.03
characteristic_root_of_a_square_matrix	numerical_quantity.n.01,value.n.01
rabidness	exuberance.n.02,liveliness.n.02
Sistine_Chapel	place_of_worship.n.01,chapel.n.01
fundamentals_analysis	analysis.n.01,investigation.n.02
gabapentin	medicine.n.02,anticonvulsant.n.01
Marcus_Aurelius_Valerius_Maximianus	emperor.n.01,roman_emperor.n.01
Sciurus_carolinensis	squirrel.n.01,tree_squirrel.n.01
Ithiel_Town	architect.n.01,creator.n.02
falderol	decoration.n.01,artifact.n.01
pop-up	book.n.01,publication.n.01
pop-up	fly.n.04,hit.n.02
Ferrara	city.n.01,municipality.n.01
bench_hook	restraint.n.06,catch.n.06
cluster_of_differentiation_4	glycoprotein.n.01,conjugated_protein.n.01
eye_movement	motion.n.03,change.n.03
blame_game	charge.n.02,accusation.n.01
A-scan_ultrasonography	sonography.n.01,prenatal_diagnosis.n.01,imaging.n.02
disfluency	inability.n.01,unskillfulness.n.01
logomachy	argument.n.03,discussion.n.02
the_ways_of_the_world	activity.n.01,behavior.n.01
Hmong_language	natural_language.n.01,language.n.01
Vetluga_River	stream.n.01,river.n.01
Paul_Vernier	mathematician.n.01,scientist.n.01
cold_water	disrespect.n.01,disparagement.n.01
prosciutto	ham.n.01,cut_of_pork.n.01
seismography	measurement.n.01,activity.n.01
pointillist	artist.n.01,painter.n.01
Israel_Strassberg	actor.n.01,performer.n.01
Israel_Strassberg	film_maker.n.01,film_director.n.01
prescriptivism	belief.n.01,doctrine.n.01
Robert_Indiana	artist.n.01,creator.n.02
anterior_horn	motor_nerve.n.01,nerve.n.01
web-spinning_mite	acarine.n.01,mite.n.02
First_Lateran_Council	council.n.02,lateran_council.n.01
prickliness	roughness.n.01,texture.n.01
thermogram	graph.n.01,visual_communication.n.01
Hagia_Sofia	museum.n.01,depository.n.01
Tours	city.n.01,municipality.n.01
Tours	travel.n.01,journey.n.01
Tours	hours.n.01,shift.n.03
Tours	fundamental_quantity.n.01,time_period.n.01
fluid_flywheel	flywheel.n.01,governor.n.02
Logrono	spain.n.01
Logrono	city.n.01,municipality.n.01
Tolbukhin	city.n.01,municipality.n.01
future_date	day.n.01,date.n.07
genre_painter	artist.n.01,painter.n.01
MiB	computer_memory_unit.n.01,unit_of_measurement.n.01
film_company	institution.n.01,company.n.01
hockey_skate	skate.n.01,ice_skate.n.01
DNA_polymerase	enzyme.n.01,polymerase.n.01
pied_piper	leader.n.01,person.n.01
pied_piper	imaginary_being.n.01,fictional_character.n.01
Congreve	dramatist.n.01,writer.n.01
atomic_number_110	substance.n.01,chemical_element.n.01
information_technology	discipline.n.01,engineering.n.02
Kennan	official.n.01,diplomat.n.01
pluralization	grammatical_relation.n.01,inflection.n.01
earplug	earphone.n.01,electro-acoustic_transducer.n.01
earplug	plug.n.01,blockage.n.02
Giulio_de'_Medici	pope.n.01,catholic.n.01,spiritual_leader.n.01
card_index	office_furniture.n.01,file.n.03
funambulism	diversion.n.01,sport.n.01
violin_family	class.n.01,collection.n.01
magnetic_core_memory	random-access_memory.n.01,volatile_storage.n.01
complex_conjugate	complex_number.n.01,number.n.02
twenty-twenty	sight.n.03,acuity.n.01
Dunkerque	geographic_point.n.01,port.n.01
Dunkerque	town.n.01,municipality.n.01
Dunkerque	amphibious_operation.n.01,operation.n.05
Dunkerque	withdrawal.n.03,evacuation.n.02
the_hots	desire.n.01,sexual_desire.n.01
nonconformism	unorthodoxy.n.01,orientation.n.02
nonconformism	activity.n.01,practice.n.01
Vatican_Council	council.n.02,assembly.n.04
Giovanni_Battista_Cibo	pope.n.01,catholic.n.01,spiritual_leader.n.01
glossarist	scholar.n.01,scholiast.n.01
nebule	atmospheric_phenomenon.n.01,cloud.n.02
Abu_Hafs_al-Masri_Brigades	political_movement.n.01,terrorist_organization.n.01
ABS	plastic.n.01,solid.n.01
ABS	bachelor's_degree.n.01,academic_degree.n.01
ABS	calendar_month.n.01,jewish_calendar_month.n.01
ABS	muscle.n.01,skeletal_muscle.n.01
ABS	blood.n.01,blood_group.n.01
grey_polypody	fern.n.01,polypody.n.01
Clyde	stream.n.01,river.n.01
computer_graphic	representation.n.02,picture.n.01
philhellenism	liking.n.01,admiration.n.01
Papua	location.n.01,region.n.01
Converso	convert.n.01,person.n.01
smoothbore	gun.n.01,firearm.n.01
cymbalist	musician.n.01,percussionist.n.01
prescriptive_linguistics	science.n.01,linguistics.n.01
Dunkirk	crisis.n.01,situation.n.03
Dunkirk	geographic_point.n.01,port.n.01
Dunkirk	town.n.01,municipality.n.01
Dunkirk	amphibious_operation.n.01,operation.n.05
Dunkirk	withdrawal.n.03,evacuation.n.02
bobble	blunder.n.01,mistake.n.01
gonioscopy	investigation.n.02,examination.n.01
range_of_a_function	set.n.02,abstraction.n.06
grey_sole	sole.n.02,flatfish.n.01
Treasury	funds.n.01,assets.n.01
Treasury	executive_department.n.01,government_department.n.01,department.n.01,federal_department.n.01
Treasury	bond.n.02,government_bond.n.01
Treasury	minister.n.02,cabinet_minister.n.01
Treasury	depository.n.01,facility.n.01
trusty	convict.n.01,prisoner.n.01
historiography	writing.n.02,literature.n.03
historiography	writing.n.01,verbal_creation.n.01
Zithromax	medicine.n.02,antibacterial.n.01
tideland	seashore.n.01,shore.n.01
Order_Osteoglossiformes	animal_order.n.01,order.n.12
prolonged_interrogation	persecution.n.01,torture.n.05
Hillel	spiritual_leader.n.01,rabbi.n.01
Black_Vernacular_English	american_english.n.01,english.n.01
pesto	condiment.n.01,sauce.n.01
corporatist	supporter.n.01,advocate.n.01
biryani	nutriment.n.01,dish.n.02
Gustavus_II	king.n.01,sovereign.n.01
Gabriele_Fallopius	anatomist.n.01,expert.n.01
feedstock	material.n.01,raw_material.n.01
fetch	act.n.02,action.n.01
scale_of_C_major	mode.n.05,major_scale.n.01
Bextra	cox-2_inhibitor.n.01,anti-inflammatory.n.01
Mohorovicic_discontinuity	extremity.n.04,boundary.n.01
cappuccino	beverage.n.01,coffee.n.01
expounder	person.n.01,intellectual.n.01
hobbyism	devotion.n.02,commitment.n.02
phytochemist	chemist.n.01,scientist.n.01
Caloocan	city.n.01,municipality.n.01
e-commerce	transaction.n.01,commerce.n.01
eigenvalue_of_a_square_matrix	numerical_quantity.n.01,value.n.01
string_theory	hypothesis.n.02,model.n.01
directiveness	quality.n.01,attribute.n.02
varietal_wine	wine.n.01,alcohol.n.01
grey_skate	skate.n.02,ray.n.07
mnemonic	maneuver.n.04,device.n.03
18-karat_gold	alloy.n.01,mixture.n.01
Great_Arabian_Desert	biome.n.01,desert.n.01,tract.n.01
deliberative_assembly	gathering.n.01,assembly.n.04
neuropile	animal_tissue.n.01,nervous_tissue.n.01
Dona	appellation.n.01,title.n.06
haptoglobin	protein.n.01,macromolecule.n.01
telescopy	superior_skill.n.01,art.n.03
George_IV	king_of_england.n.01,king.n.01
jodhpurs	trouser.n.01,garment.n.01
jodhpurs	boot.n.01,riding_boot.n.01
Elixophyllin	bronchodilator.n.01,medicine.n.02
urban_legend	report.n.03,news.n.02
settlor	benefactor.n.01,donor.n.01
Sayan_Mountains	range.n.04,geological_formation.n.01
ten-thousandth	fraction.n.03,common_fraction.n.01
cuckoldry	seduction.n.02,sexual_conquest.n.01
Stonehenge	site.n.01,monument.n.02
Bodensee	body_of_water.n.01,lake.n.01
substring	sequence.n.01,string.n.05
sea-level_pressure	atmospheric_pressure.n.01,gas_pressure.n.01
Angelo_Correr	pope.n.01,catholic.n.01,spiritual_leader.n.01
neuropil	animal_tissue.n.01,nervous_tissue.n.01
vampirism	belief.n.01,content.n.05
vampirism	act.n.02,action.n.01
bread-and-butter_issue	issue.n.01,content.n.05
Sir_Robert_Peel	leader.n.01,politician.n.02
sesquicentennial	day.n.03,anniversary.n.01
rawness	wetness.n.01,damp.n.01
rawness	state.n.02,integrity.n.01
rawness	pain.n.01,symptom.n.01
rawness	ignorance.n.01,content.n.05
scablands	land.n.02,object.n.01
zillion	large_indefinite_quantity.n.01,indefinite_quantity.n.01
maxi	garment.n.01,skirt.n.02
Czestochowa	city.n.01,municipality.n.01
Bathsheba	wife.n.01,spouse.n.01,woman.n.01
Mycenaen	european.n.01,greek.n.02
myotic	drug.n.01,agent.n.03
Australian_lungfish	endangered_species.n.01,species.n.01
NW	direction.n.02,compass_point.n.01
Islamic_Great_Eastern_Raiders-Front	political_movement.n.01,terrorist_organization.n.01
married	causal_agent.n.01,person.n.01,organism.n.01
magnifico	important_person.n.01,adult.n.01
bottom-feeder	scavenger.n.03,animal.n.01
bottom-feeder	fish.n.01,aquatic_vertebrate.n.01
Tomasso_Parentucelli	pope.n.01,catholic.n.01,spiritual_leader.n.01
assessee	causal_agent.n.01,person.n.01,organism.n.01
chair_of_state	seat.n.03,chair.n.01
Battle_of_Fredericksburg	battle.n.01,pitched_battle.n.01
cornstalk	stalk.n.02,plant_organ.n.01
Humvee	military_vehicle.n.01,vehicle.n.01
trinketry	group.n.01,collection.n.01
fish-liver_oil	animal_material.n.01,animal_oil.n.01,oil.n.01
moviemaking	devising.n.01,production.n.01
herringbone_pattern	design.n.04,decoration.n.01
semiweekly	series.n.03,periodical.n.01
Edward_V	king_of_england.n.01,king.n.01
Gypsy	workman.n.01,laborer.n.01
Gypsy	asian.n.01,indian.n.02
Gypsy	sanskrit.n.01,indic.n.01
Roman_times	times.n.01,time_period.n.01
ballet_mistress	dancer.n.01,performer.n.01
close-quarter_fighting	conflict.n.01,fight.n.02
Bahia_Blanca	city.n.01,municipality.n.01
Bahia_Blanca	geographic_point.n.01,port.n.01
friendly	force.n.04,military_personnel.n.01
holding_pen	pen.n.02,enclosure.n.01
latchet	leather_strip.n.01,strap.n.01
Synoptic_Gospels	writing.n.02,sacred_text.n.01
capital_of_Malaysia	city.n.01,national_capital.n.01,capital.n.03
Beirut	city.n.01,national_capital.n.01,capital.n.03
figure_of_merit	ratio.n.01,efficiency.n.01
lens_cortex	tissue.n.01,animal_tissue.n.01
fair-trade_agreement	statement.n.01,agreement.n.01
peeve	feeling.n.01,temper.n.02
right_of_action	abstraction.n.01,right.n.01
yard_bird	enlisted_man.n.01,recruit.n.01
yard_bird	unfortunate.n.01,prisoner.n.01
Spanish_Armada	armada.n.01,fleet.n.04
Riksmaal	norwegian.n.02,bokmal.n.01
ethnic	causal_agent.n.01,person.n.01,organism.n.01
Canandaigua_Lake	body_of_water.n.01,lake.n.01
Darjeeling	black_tea.n.01,tea.n.05
Polycarp	martyr.n.02,victim.n.01
scaliness	roughness.n.01,texture.n.01
amygdaloid	volcanic_rock.n.01,igneous_rock.n.01
interrupt	signal.n.03,electricity.n.02
chichi	dresser.n.02,person.n.01
chichi	quality.n.01,elegance.n.01
heterosis	tendency.n.03,disposition.n.04
downshift	action.n.01,change.n.03
Herr	male.n.02,man.n.01,adult.n.01
Herr	appellation.n.01,title.n.06
Leo_IX	pope.n.01,catholic.n.01,spiritual_leader.n.01
atomic_number_108	substance.n.01,chemical_element.n.01
Cinnamomum_cassia	laurel.n.01,angiospermous_tree.n.01
Tyrolean_Alps	range.n.04,geological_formation.n.01
Quintana_Roo	administrative_district.n.01,state.n.01
Daryacheh-ye_Orumiyeh	body_of_water.n.01,lake.n.01
phytochemical	chemical.n.01,material.n.01
dandyism	manner.n.02,demeanor.n.01
Pepin_III	king.n.01,sovereign.n.01,carolingian.n.01
nominalist	scholar.n.01,philosopher.n.01
particular_proposition	proposition.n.01,statement.n.01
fermata	notation.n.01,musical_notation.n.01
fermata	duration.n.03,lengthiness.n.02
man's_clothing	consumer_goods.n.01,clothing.n.01,covering.n.02
Doing_Business_As	language_unit.n.01,name.n.01
Ida_Tarbell	writer.n.01,communicator.n.01
ski_binding	mechanism.n.05,mechanical_device.n.01
Keuka_Lake	body_of_water.n.01,lake.n.01
neoconservatism	conservatism.n.01,political_orientation.n.01
platinum_blond	person.n.01,blond.n.01
Frank_Whittle	engineer.n.01,aeronautical_engineer.n.01
George_II	king_of_england.n.01,king.n.01
Rommany	asian.n.01,indian.n.02
Hum-Vee	military_vehicle.n.01,vehicle.n.01
woodenness	awkwardness.n.04,inelegance.n.01
Ergun_He	stream.n.01,river.n.01
ironclad	ship.n.01,military_vehicle.n.01,warship.n.01
Gulf_of_Campeche	gulf.n.01,body_of_water.n.01
country_people	group.n.01,citizenry.n.01,people.n.01,folk.n.01
antifouling_paint	paint.n.01,coloring_material.n.01,coating.n.01
rhinolaryngology	medicine.n.01,medical_science.n.01
bathymeter	measuring_instrument.n.01,instrument.n.01
ZiB	computer_memory_unit.n.01,unit_of_measurement.n.01
get	return.n.11,tennis_stroke.n.01
gibibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
Landsmal	norwegian.n.02,scandinavian.n.02
rebroadcast	broadcast.n.01,message.n.01
Fourth_Lateran_Council	council.n.02,lateran_council.n.01
suffragism	belief.n.01,content.n.05
Giovanni_Angelo_Braschi	pope.n.01,catholic.n.01,spiritual_leader.n.01
sensorium	area.n.03,cortical_area.n.01
Received_Pronunciation	west_germanic.n.01,english.n.01
Received_Pronunciation	speech.n.02,pronunciation.n.02
water-colour	paint.n.01,coloring_material.n.01,pigment.n.01,water-base_paint.n.01
water-colour	painting.n.01,graphic_art.n.01
water-colour	fine_arts.n.01,art.n.02,painting.n.02
touch_screen	screen.n.03,computer_screen.n.01
African_American_Vernacular_English	american_english.n.01,english.n.01
sumo_ring	ring.n.07,platform.n.01
Latinism	loanword.n.01,word.n.01
seaborgium	substance.n.01,chemical_element.n.01
Potyokin	serviceman.n.01,military_officer.n.01
Potyokin	leader.n.01,politician.n.02
discography	catalog.n.02,list.n.01
quadrennium	fundamental_quantity.n.01,time_period.n.01
falangist	fascist.n.01,rightist.n.01
Black_Prince	prince.n.01,prince_of_wales.n.01
snootiness	quality.n.01,attribute.n.02
Veterans'_Day	holiday.n.02,legal_holiday.n.01
Vaudois	sect.n.01,religion.n.02
free-lance	person.n.01,worker.n.01
belt_ammunition	ammunition.n.01,weaponry.n.01
chlorofucin	chlorophyll.n.01,pigment.n.01
siege_of_Yorktown	siege.n.01,blockade.n.01
Roman_Inquisition	court.n.01,inquisition.n.01
Hasidism	judaism.n.01,orthodox_judaism.n.01
Hasidism	judaism.n.02,orthodox_judaism.n.02
clip-on	device.n.01,instrumentality.n.03
Chula_Vista	city.n.01,municipality.n.01
filicide	genitor.n.01,parent.n.01
filicide	murder.n.01,homicide.n.01
grey_birch	tree.n.01,birch.n.02
gainfulness	advantage.n.01,profit.n.02
simper	facial_expression.n.01,smile.n.01
guideword	language_unit.n.01,word.n.01
two-year-old_horse	racehorse.n.01,horse.n.01
George_I	king_of_england.n.01,king.n.01
fibrousness	quality.n.01,attribute.n.02
leakiness	condition.n.01,state.n.02
Noachian_deluge	geological_phenomenon.n.01,flood.n.01
recirculation	circulation.n.06,spread.n.10
inverse_cotangent	function.n.01,trigonometric_function.n.01
pinkness	chromatic_color.n.01,pink.n.01
Skagway	town.n.01,municipality.n.01
Bertram_Brockhouse	scientist.n.01,physicist.n.01
self-stimulation	autoeroticism.n.01,masturbation.n.01
Cassiopeia	mythical_being.n.01,imaginary_being.n.01
Cassiopeia	constellation.n.02,natural_object.n.01
Kechuan	natural_language.n.01,amerind.n.01
escapology	discipline.n.01,knowledge_domain.n.01
iPod	reproducer.n.01,stereo.n.01
Iphigenia	mythical_being.n.01,imaginary_being.n.01
Gregory	scholar.n.01,doctor_of_the_church.n.01,theologian.n.01,church_father.n.01
Gregory	saint.n.01,deity.n.01
Gregory	pope.n.01,catholic.n.01,spiritual_leader.n.01
Goudy	skilled_worker.n.01,printer.n.01
anterior_root	motor_nerve.n.01,nerve.n.01
quadrivium	discipline.n.01,humanistic_discipline.n.01
Kara_Kum	biome.n.01,desert.n.01,tract.n.01
center_punch	tool.n.01,punch.n.03
trandolapril	ace_inhibitor.n.01,antihypertensive.n.01
drill_press	machine.n.01,machine_tool.n.01
criminal_maintenance	activity.n.01,wrongdoing.n.02
battle_of_Hohenlinden	battle.n.01,pitched_battle.n.01
dieter	causal_agent.n.01,person.n.01,organism.n.01
continuing_education	education.n.01,activity.n.01
one-hundred-thousandth	fraction.n.03,common_fraction.n.01
apparatchik	official.n.01,skilled_worker.n.01
apparatchik	socialist.n.01,communist.n.02
parallel-veined_leaf	plant_organ.n.01,leaf.n.01
SNP	organic_phenomenon.n.01,polymorphism.n.01
angular_velocity	rate.n.01,speed.n.01
Bohemian	asian.n.01,european.n.01,indian.n.02,inhabitant.n.01
Bohemian	nonconformist.n.02,dissenter.n.01
technical_analysis_of_stock_trends	analysis.n.01,investigation.n.02
dideoxycytosine	antiviral.n.01,medicine.n.02
Pied_Piper	leader.n.01,person.n.01
Pied_Piper	imaginary_being.n.01,fictional_character.n.01
core_memory	random-access_memory.n.01,volatile_storage.n.01
African_grey	parrot.n.01,bird.n.01
chicken_provencale	nutriment.n.01,dish.n.02
Don	man.n.01,gentleman.n.01
Don	teacher.n.01,educator.n.01
Don	leader.n.01,head.n.04
Don	deity.n.01,celtic_deity.n.01
Don	stream.n.01,river.n.01
Don	appellation.n.01,title.n.06
mottle	color.n.01,visual_property.n.01
STD	communicable_disease.n.01,contagious_disease.n.01
STD	doctor's_degree.n.01,academic_degree.n.01
Colossus_of_Rhodes	sculpture.n.01,statue.n.01
Laurentian_Highlands	highland.n.01,tableland.n.01
Zhu_Jiang	stream.n.01,river.n.01
cystoid_macular_edema	swelling.n.01,edema.n.01
cystoid_macular_edema	eye_disease.n.01,disease.n.01
Inside_Passage	body_of_water.n.01,waterway.n.01
Osteoglossiformes	animal_order.n.01,order.n.12
Edward_III	king_of_england.n.01,king.n.01
scriptorium	room.n.01,area.n.05
sonatina	classical_music.n.01,sonata.n.01
Brer_Rabbit	imaginary_being.n.01,fictional_character.n.01
Gustavus_Adolphus	king.n.01,sovereign.n.01
abjurer	causal_agent.n.01,person.n.01,organism.n.01
stock-taker	employee.n.01,worker.n.01
Monothelitism	content.n.05,heresy.n.02
Monothelitism	theological_doctrine.n.01,doctrine.n.01
minor_fast_day	religious_holiday.n.01,fast_day.n.01
exbibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
curiosa	book.n.01,publication.n.01
auto-suggestion	improvement.n.02,self-improvement.n.01
Inka	south_american_indian.n.01,quechua.n.01
Inka	community.n.01,gathering.n.01
low-pass_filter	filter.n.02,electrical_device.n.01
valet_parking	service.n.15,accommodation.n.05
T	pyrimidine.n.01,base.n.10
T	ester.n.01,nucleotide.n.01
T	metric_weight_unit.n.01,mass_unit.n.01,metric_unit.n.01
T	letter.n.02,character.n.08
T	thyroid_hormone.n.01,hormone.n.01
audible	football_play.n.01,play.n.03
maiden_voyage	ocean_trip.n.01,water_travel.n.01
spokeshave	plane.n.05,hand_tool.n.01,edge_tool.n.01
Eschrichtius_robustus	whale.n.02,baleen_whale.n.01
Queen_Isabella	queen.n.02,female_aristocrat.n.01
Pibit	computer_memory_unit.n.01,unit_of_measurement.n.01
linguistic_performance	performance.n.03,action.n.01
object-oriented_programming	creating_by_mental_acts.n.01,programming.n.02
Council_of_Basel-Ferrara-Florence	council.n.02,assembly.n.04
hierocracy	political_system.n.01,theocracy.n.01
Asperger's_syndrome	disorder.n.01,mental_disorder.n.01
Sir_Rabindranath_Tagore	scholar.n.01,philosopher.n.01
Sir_Rabindranath_Tagore	writer.n.01,communicator.n.01
Second_Earl_of_Guilford	statesman.n.01,politician.n.02
mebibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
Nicholas_V	pope.n.01,catholic.n.01,spiritual_leader.n.01
Rhadamanthus	deity.n.01,greek_deity.n.01
Campeche	city.n.01,administrative_district.n.01,state.n.01,municipality.n.01
honorable_discharge	dismissal.n.04,termination.n.05
obsessive	neurotic.n.01,sick_person.n.01
Samuel_Butler	poet.n.01,writer.n.01,communicator.n.01
equal_sign	sign.n.11,mathematical_notation.n.01
enophile	person.n.01,appreciator.n.01
Brasov	city.n.01,municipality.n.01
fanjet_engine	jet_engine.n.01,reaction-propulsion_engine.n.01
New_Norwegian	norwegian.n.02,scandinavian.n.02
Gustavus_I	king.n.01,sovereign.n.01
Great_Indian_Desert	biome.n.01,desert.n.01,tract.n.01
salableness	quality.n.01,attribute.n.02
vice-presidential_term	term.n.02,tenure.n.01
heterometaboly	metamorphosis.n.01,organic_process.n.01
capital_of_Lebanon	city.n.01,national_capital.n.01,capital.n.03
long-staple_cotton	plant_fiber.n.01,cotton.n.01
mobocracy	political_system.n.01,social_group.n.01
Mwanza	city.n.01,municipality.n.01
belted_ammunition	ammunition.n.01,weaponry.n.01
kitchen_island	island.n.02,zone.n.01
reenactor	actor.n.01,performer.n.01
worldly_good	commodity.n.01,artifact.n.01
body_mass_index	index.n.02,fact.n.02
Ida_Minerva_Tarbell	writer.n.01,communicator.n.01
phlebotomist	skilled_worker.n.01,worker.n.01
Giovanni_Battista_Montini	pope.n.01,catholic.n.01,spiritual_leader.n.01
UDA	political_movement.n.01,terrorist_organization.n.01
long_distance	telephone.n.02,call.n.01
slit_lamp	lamp.n.01,electric_lamp.n.01
prickly-edged_leaf	plant_organ.n.01,leaf.n.01
